term,estimate,std.error,statistic,p.value,conf.low,conf.high
rel::144:treated,-0.499999999996807,,,,,
rel::145:treated,-0.399999999996818,,,,,
rel::146:treated,-0.499999999996807,,,,,
rel::147:treated,-0.59999999999681,,,,,
rel::148:treated,-0.499999999996823,,,,,
rel::149:treated,-0.0999999999968249,,,,,
rel::150:treated,-0.0999999999968089,,,,,
rel::151:treated,-0.399999999996807,,,,,
rel::152:treated,-0.199999999996817,,,,,
rel::153:treated,-0.199999999996834,,,,,
rel::154:treated,3.2120972548455e-12,,,,,
rel::155:treated,3.2041036490682e-12,,,,,
rel::156:treated,-0.199999999996817,,,,,
rel::157:treated,-0.399999999996799,,,,,
rel::158:treated,-0.199999999996782,,,,,
rel::159:treated,-0.499999999996804,,,,,
rel::160:treated,-0.499999999996782,,,,,
rel::161:treated,-0.499999999996733,,,,,
rel::162:treated,-0.499999999996782,,,,,
rel::163:treated,-0.699999999996781,,,,,
rel::164:treated,-0.599999999996737,,,,,
rel::165:treated,-0.299999999996732,,,,,
rel::166:treated,-1.09999999999675,,,,,
rel::167:treated,-0.49999999999674,,,,,
rel::168:treated,-0.699999999996742,,,,,
rel::169:treated,-0.799999999996716,,,,,
rel::170:treated,-0.899999999996697,,,,,
rel::171:treated,-1.09999999999673,,,,,
rel::172:treated,-0.799999999996737,,,,,
rel::173:treated,-1.19999999999676,,,,,
rel::174:treated,-1.19999999999675,,,,,
rel::175:treated,-0.999999999996787,,,,,
rel::176:treated,-1.29999999999682,,,,,
rel::177:treated,-1.49999999999677,,,,,
rel::178:treated,-1.19999999999676,,,,,
rel::179:treated,-1.49999999999684,,,,,
