outcome,label,beta,se,p,sort_idx,r2,ar2,bp_p
unemp_rate,-2,-0.2,1.59521553323905e-16,0,-2,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,-1,0,0,1,-1,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,0,0.200000000000001,,,0,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,1,9.33903688628899e-16,7.97607766619523e-17,1.14882180990009e-31,1,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,2,0.3,,,2,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,3,0.300000000000001,,,3,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,4,0.300000000000001,,,4,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,5,0.300000000000001,,,5,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,6,0.5,,,6,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,7,0.400000000000001,,,7,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,8,0.100000000000001,1.12798772100744e-16,0,8,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,9,0.9,,,9,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,10,0.300000000000001,,,10,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,11,0.500000000000001,,,11,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,12,0.600000000000001,,,12,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,Post_Tail,0.833333333333334,0.10804091588918,1.2277155777516e-14,999,0.962896469180131,0.777378815080789,0.868954447993399
hicp,-12,-1.64000000000001,2.20488530987779e-16,0,-12,0.989131557535054,0.934789345210327,0.895713107413999
hicp,-11,-2.06,1.18021938051018e-16,0,-11,0.989131557535054,0.934789345210327,0.895713107413999
hicp,-10,-1.52999999999999,1.0015113057483e-16,0,-10,0.989131557535054,0.934789345210327,0.895713107413999
hicp,-9,-2.11,7.67883067699842e-17,0,-9,0.989131557535054,0.934789345210327,0.895713107413999
hicp,-8,-2.11999999999999,1.57796127267906e-16,0,-8,0.989131557535054,0.934789345210327,0.895713107413999
hicp,-7,-1.82999999999999,9.02390176805955e-16,0,-7,0.989131557535054,0.934789345210327,0.895713107413999
hicp,-6,-1.6,1.7356708009182e-16,0,-6,0.989131557535054,0.934789345210327,0.895713107413999
hicp,-5,-2.14999999999999,9.02390176805955e-16,0,-5,0.989131557535054,0.934789345210327,0.895713107413999
hicp,-4,-1.73000000000001,7.2945166898777e-17,0,-4,0.989131557535054,0.934789345210327,0.895713107413999
hicp,-3,-2.38999999999998,6.38086213295619e-16,0,-3,0.989131557535054,0.934789345210327,0.895713107413999
hicp,-2,-2.17999999999999,9.02390176805955e-16,0,-2,0.989131557535054,0.934789345210327,0.895713107413999
hicp,-1,0,0,1,-1,0.989131557535054,0.934789345210327,0.895713107413999
hicp,0,0.610000000000017,8.96667018450986e-17,0,0,0.989131557535054,0.934789345210327,0.895713107413999
hicp,1,0.939999999999998,6.38086213295619e-16,0,1,0.989131557535054,0.934789345210327,0.895713107413999
hicp,2,1.61,1.12884181043764e-16,0,2,0.989131557535054,0.934789345210327,0.895713107413999
hicp,3,2.25000000000002,1.08066068436525e-16,0,3,0.989131557535054,0.934789345210327,0.895713107413999
hicp,4,2.86000000000002,1.27534396389919e-16,0,4,0.989131557535054,0.934789345210327,0.895713107413999
hicp,5,3.75,1.07541483126546e-16,0,5,0.989131557535054,0.934789345210327,0.895713107413999
hicp,6,3.22,1.03532574490238e-16,0,6,0.989131557535054,0.934789345210327,0.895713107413999
hicp,7,3.23000000000003,1.15864512241366e-16,0,7,0.989131557535054,0.934789345210327,0.895713107413999
hicp,8,0.0600000000000157,9.02390176805955e-16,0,8,0.989131557535054,0.934789345210327,0.895713107413999
hicp,9,0.549999999999994,1.28117452048787e-16,0,9,0.989131557535054,0.934789345210327,0.895713107413999
hicp,10,0.359999999999999,1.06082721885306e-16,0,10,0.989131557535054,0.934789345210327,0.895713107413999
hicp,11,5.71999999999998,1.2304703594355e-16,0,11,0.989131557535054,0.934789345210327,0.895713107413999
hicp,12,5.28000000000002,1.73547201230181e-16,0,12,0.989131557535054,0.934789345210327,0.895713107413999
hicp,Post_Tail,3.84166666666668,0.680067478042701,1.61431504734252e-08,999,0.989131557535054,0.934789345210327,0.895713107413999
imports_world_meur,-12,-1604.1,,,-12,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,-11,-643.400000000001,2.74909696186597e-14,0,-11,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,-10,-1204.8,,,-10,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,-9,-848.400000000001,1.63350070603678e-13,0,-9,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,-8,-502.600000000004,,,-8,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,-7,-945.699999999998,2.31011885262325e-13,0,-7,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,-6,-395.900000000002,,,-6,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,-5,-301,3.26700141207357e-13,0,-5,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,-4,-555.100000000004,1.63350070603678e-13,0,-4,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,-3,-544,,,-3,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,-2,-521.000000000003,3.26700141207357e-13,0,-2,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,-1,0,0,1,-1,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,0,342.099999999998,,,0,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,1,740.8,1.63350070603678e-13,0,1,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,2,1086.2,,,2,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,3,1280.5,,,3,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,4,1743.4,,,4,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,5,1576,,,5,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,6,2232.9,,,6,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,7,2269.3,,,7,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,8,2269,2.31011885262325e-13,0,8,0.985100398432583,0.9106023905955,0.875669158987394
imports_world_meur,9,1969.5,,,9,0.985100398432583,0.9106023905955,0.875669158987394
