outcome,label,beta,se,p,sort_idx
imports_world_meur,-2,278.199999999998,4.35319889356231e-05,0,-2
imports_world_meur,-1,0,0,1,-1
imports_world_meur,0,-77.9000000000027,4.37819818365245e-05,0,0
imports_world_meur,1,-691.200000000004,6.85133758390464e-06,0,1
imports_world_meur,2,43.6999999999984,7.36320475763134e-06,0,2
imports_world_meur,3,-529.800000000002,4.36988097769216e-05,0,3
imports_world_meur,4,-55.4000000000018,4.36154791135601e-05,0,4
imports_world_meur,5,-128.100000000003,6.85133758390452e-06,0,5
imports_world_meur,6,-305.000000000003,4.36988097769216e-05,0,6
imports_world_meur,Post_Tail,1066.80833333333,302.402817049733,0.000419072208551396,999
exports_world_meur,Pre_Tail,293.033333333332,111.683688025201,0.00869601489238326,-999
exports_world_meur,-6,504,,,-6
exports_world_meur,-5,422.199999999998,,,-5
exports_world_meur,-4,44.1999999999988,,,-4
exports_world_meur,-3,76.9999999999992,,,-3
exports_world_meur,-2,57.7999999999991,,,-2
exports_world_meur,-1,0,0,1,-1
exports_world_meur,0,-927.600000000002,,,0
exports_world_meur,1,-2094.2,,,1
exports_world_meur,2,-1140.4,,,2
exports_world_meur,3,-955.3,,,3
exports_world_meur,4,-108.200000000001,,,4
exports_world_meur,5,-618.500000000001,,,5
exports_world_meur,6,-374.200000000001,,,6
exports_world_meur,Post_Tail,675.791666666666,93.1286784643982,3.97127220171166e-13,999
log_imp,Pre_Tail,0.0294789959991522,0.00797096597858484,0.000217051218195627,-999
log_imp,-6,0.0432857424727259,1.87046834503742e-09,0,-6
log_imp,-5,0.053034183898882,1.65606275163232e-09,0,-5
log_imp,-4,0.0415187394414661,3.04569000967076e-09,0,-4
log_imp,-3,0.0621457743714692,1.53670842519169e-09,0,-3
log_imp,-2,0.00763317085434952,1.38844946435256e-09,0,-2
log_imp,-1,0,0,1,-1
log_imp,0,0.0617761187510712,1.67187130277702e-09,0,0
log_imp,1,0.206756293992822,1.67187130277702e-09,0,1
log_imp,2,0.216473428980612,,,2
log_imp,3,0.0531663520704643,3.04965025666261e-09,0,3
log_imp,4,0.0593959422761951,1.53670842519169e-09,0,4
log_imp,5,0.0187488415525471,1.67187130277702e-09,0,5
log_imp,6,-0.0055320448564836,,,6
log_imp,Post_Tail,0.0638464355295492,0.0149434728941283,1.93267583187644e-05,999
log_exp,Pre_Tail,0.0392977565519515,0.0176546037188886,0.0260194606175686,-999
log_exp,-6,0.0540830347772604,,,-6
log_exp,-5,0.0362788265481732,,,-5
log_exp,-4,0.0132680884046347,,,-4
log_exp,-3,0.00903815588037909,,,-3
log_exp,-2,-0.0115624362869138,,,-2
log_exp,-1,0,0,1,-1
log_exp,0,0.0510035710832231,,,0
log_exp,1,0.186805004188608,,,1
log_exp,2,0.122946838043152,,,2
log_exp,3,-0.018168499805702,,,3
log_exp,4,0.0275485182931056,,,4
log_exp,5,-0.057908839836447,,,5
log_exp,6,-0.0518122983866754,,,6
log_exp,Post_Tail,0.0200446663732576,0.0101822767689979,0.0490008899475197,999
