term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome
rel::130:treated,-0.102645677849408,,,,,,hicp_yoy
rel::131:treated,-0.29746012382912,,,,,,hicp_yoy
rel::132:treated,-0.779430923602764,,,,,,hicp_yoy
rel::133:treated,-0.861555353235553,,,,,,hicp_yoy
rel::134:treated,-1.36865591177381,,,,,,hicp_yoy
rel::135:treated,-1.38290384412751,,,,,,hicp_yoy
rel::136:treated,-1.24013161547221,,,,,,hicp_yoy
rel::137:treated,-1.8133582315641,,,,,,hicp_yoy
rel::138:treated,-2.0534618210468,,,,,,hicp_yoy
rel::139:treated,-2.29867232664468,,,,,,hicp_yoy
rel::140:treated,-2.18713911472612,,,,,,hicp_yoy
rel::141:treated,-1.55853367677547,,,,,,hicp_yoy
rel::142:treated,-1.44912495264975,,,,,,hicp_yoy
rel::143:treated,-0.980524618756924,,,,,,hicp_yoy
rel::144:treated,-1.69786912584294,,,,,,hicp_yoy
rel::145:treated,-1.44578481482636,,,,,,hicp_yoy
rel::146:treated,-1.02608696285023,,,,,,hicp_yoy
rel::147:treated,-1.61190027079095,,,,,,hicp_yoy
rel::148:treated,-0.911485464242802,,,,,,hicp_yoy
rel::149:treated,-0.227028701119256,,,,,,hicp_yoy
rel::150:treated,0.00258196307957281,,,,,,hicp_yoy
rel::151:treated,-0.0701931875201746,,,,,,hicp_yoy
rel::152:treated,-0.240122646450808,,,,,,hicp_yoy
rel::153:treated,-0.66147376778135,,,,,,hicp_yoy
rel::154:treated,-0.246718420315561,,,,,,hicp_yoy
rel::155:treated,-0.561241583419691,,,,,,hicp_yoy
rel::156:treated,-1.32729415081609,,,,,,hicp_yoy
rel::157:treated,-1.94932360596893,,,,,,hicp_yoy
rel::158:treated,-2.60110767026967,,,,,,hicp_yoy
rel::159:treated,-2.6201333493605,,,,,,hicp_yoy
rel::160:treated,-3.71607434911629,,,,,,hicp_yoy
rel::161:treated,-4.22221015370421,,,,,,hicp_yoy
rel::162:treated,-4.676641055637,,,,,,hicp_yoy
rel::163:treated,-3.95723331373295,,,,,,hicp_yoy
rel::164:treated,-4.48767599887214,,,,,,hicp_yoy
rel::165:treated,-1.30874335891043,,,,,,hicp_yoy
rel::166:treated,-2.35894338861511,,,,,,hicp_yoy
rel::167:treated,-1.98475825672527,,,,,,hicp_yoy
rel::168:treated,-4.22927137747078,,,,,,hicp_yoy
rel::169:treated,-3.24356850279115,,,,,,hicp_yoy
rel::170:treated,-1.87322213895806,,,,,,hicp_yoy
rel::171:treated,-0.48038517253551,,,,,,hicp_yoy
rel::172:treated,-0.39258861001542,,,,,,hicp_yoy
rel::173:treated,-0.0734459125748173,,,,,,hicp_yoy
rel::174:treated,-0.0969079800095687,,,,,,hicp_yoy
rel::175:treated,-0.706902044147291,,,,,,hicp_yoy
rel::176:treated,0.461345962011168,,,,,,hicp_yoy
rel::177:treated,-1.93263422257188,,,,,,hicp_yoy
rel::178:treated,-1.38151726344984,,,,,,hicp_yoy
rel::179:treated,-1.23561035482808,,,,,,hicp_yoy
rel::-60:treated,6.10000000000319,,,,,,unemp_rate
rel::-59:treated,6.00000000000328,,,,,,unemp_rate
rel::-58:treated,6.40000000000321,,,,,,unemp_rate
rel::-57:treated,6.50000000000327,,,,,,unemp_rate
rel::-56:treated,5.90000000000317,,,,,,unemp_rate
rel::-55:treated,6.0000000000032,,,,,,unemp_rate
rel::-54:treated,5.80000000000329,,,,,,unemp_rate
rel::-53:treated,5.40000000000334,,,,,,unemp_rate
rel::-52:treated,5.40000000000303,,,,,,unemp_rate
rel::-51:treated,4.90000000000314,,,,,,unemp_rate
rel::-50:treated,5.10000000000308,,,,,,unemp_rate
rel::-49:treated,5.50000000000304,,,,,,unemp_rate
rel::-48:treated,4.70000000000306,,,,,,unemp_rate
rel::-47:treated,4.60000000000312,,,,,,unemp_rate
rel::-46:treated,4.90000000000316,,,,,,unemp_rate
rel::-45:treated,4.30000000000308,,,,,,unemp_rate
rel::-44:treated,4.20000000000326,,,,,,unemp_rate
rel::-43:treated,4.20000000000302,,,,,,unemp_rate
rel::-42:treated,4.00000000000311,,,,,,unemp_rate
rel::-41:treated,3.9000000000032,,,,,,unemp_rate
rel::-40:treated,4.00000000000308,,,,,,unemp_rate
rel::-39:treated,3.80000000000312,,,,,,unemp_rate
rel::-38:treated,3.60000000000325,,,,,,unemp_rate
rel::-37:treated,3.20000000000311,,,,,,unemp_rate
rel::-36:treated,2.80000000000309,,,,,,unemp_rate
rel::-35:treated,3.00000000000306,,,,,,unemp_rate
rel::-34:treated,2.10000000000305,,,,,,unemp_rate
rel::-33:treated,2.40000000000318,,,,,,unemp_rate
rel::-32:treated,2.40000000000307,,,,,,unemp_rate
rel::-31:treated,1.70000000000321,,,,,,unemp_rate
rel::-30:treated,1.80000000000314,,,,,,unemp_rate
rel::-29:treated,2.10000000000322,,,,,,unemp_rate
rel::-28:treated,1.3000000000031,,,,,,unemp_rate
rel::-27:treated,1.60000000000316,,,,,,unemp_rate
rel::-26:treated,1.60000000000322,,,,,,unemp_rate
rel::-25:treated,1.20000000000314,,,,,,unemp_rate
rel::-24:treated,1.30000000000313,,,,,,unemp_rate
rel::-23:treated,1.30000000000331,,,,,,unemp_rate
rel::-22:treated,1.20000000000314,,,,,,unemp_rate
rel::-21:treated,1.50000000000323,,,,,,unemp_rate
rel::-20:treated,1.6000000000031,,,,,,unemp_rate
rel::-19:treated,1.60000000000321,,,,,,unemp_rate
rel::-18:treated,2.10000000000312,,,,,,unemp_rate
rel::-17:treated,2.30000000000325,,,,,,unemp_rate
